año,localidad,n_empresas,indice_clima_prom,pct_ventas_subio,pct_credito_obtuvo,pct_invirtio
2024,1.0,2131,0.153,0.0047,1.0,0.4819
2024,2.0,418,0.1388,0.0024,1.0,0.5
